Metacritic score,Positive,Negative,Recommendations,Price,Average playtime forever
65,1206,517,1596,12.99,49
79,1878,105,1442,9.99,225
59,350,58,230,0.0,42
87,1979,340,1988,4.99,268
73,441,384,481,13.37,46
80,3093,244,2026,11.99,381
79,6973,1701,7529,19.99,1591
59,2498,1215,2367,24.99,349
68,700,91,583,14.99,241
38,127,321,344,9.99,20
68,4732,859,3675,49.99,365
51,17,12,0,5.49,0
78,30090,3933,25706,49.99,3750
67,74,79,144,29.99,0
90,134711,5726,113302,29.99,0
68,12885,1081,11530,19.99,1071
85,16481,1212,14866,14.99,845
72,41355,8243,35775,69.99,3051
84,24496,4056,21214,4.99,1120
78,6020,1835,6077,19.99,1132
49,78,75,0,14.99,38
77,3790,511,3292,9.99,605
90,1607,229,1764,2.49,283
75,4835,820,4839,14.99,466
53,101,34,0,19.99,56
50,15,39,0,14.99,0
85,67663,8557,65615,29.99,1284
77,757,169,505,0.0,75
73,537,279,682,19.99,43
58,95,27,122,9.99,154
94,2492,195,1991,19.99,314
75,6035,1112,5436,14.99,692
69,258,55,292,12.99,437
79,9997,3111,10527,9.99,0
80,12933,2135,14106,39.99,1924
81,4354,490,4563,29.99,612
74,366,53,396,17.99,372
84,1204,114,735,14.99,210
91,1966,26,1460,0.0,1740
88,20720,7059,7038,0.0,3328
67,88,26,0,11.99,0
73,597,50,487,24.99,258
86,1355,198,1974,9.99,0
89,1742,42,1679,6.99,192
59,492,205,311,9.99,291
84,19404,1415,17368,19.99,344
78,223,28,177,19.99,1
69,207,50,210,14.99,55
63,384,145,433,14.99,508
66,699,227,753,19.99,342
56,30,12,0,9.99,0
79,377,49,395,19.99,0
79,35056,3276,27486,19.99,979
68,378,149,413,29.99,250
78,65,5,0,4.99,0
85,127,33,0,9.99,338
77,1256,197,704,19.99,132
84,738,224,484,34.99,117
71,643,634,323,8.99,75
72,1518,464,1540,19.99,1526
68,2122,1301,2599,0.99,538
72,105,19,116,29.99,0
80,8827,1539,7989,9.99,0
73,134,105,187,0.0,266
81,2602,421,2432,24.99,402
70,358,117,415,9.99,165
79,1224,990,1712,0.0,295
87,13923,701,8721,9.99,464
81,2966,75,2824,19.99,112
68,521,238,683,29.99,44
82,10685,2387,8920,59.99,4510
61,2699,676,2501,9.99,538
46,49,53,0,1.04,185
78,19137,2687,18575,29.99,522
86,105887,6868,90087,29.99,1203
84,54199,1923,48805,4.24,216
66,48,25,0,29.99,0
73,1506,352,1477,19.99,258
85,26351,2391,19742,59.99,6340
61,2282,221,1236,5.99,198
79,1015,193,1110,24.99,194
83,704,34,554,8.99,93
80,5229,677,3681,19.99,911
70,1013,195,842,0.99,269
86,317,60,356,3.74,149
60,669,54,592,19.99,81
74,58,13,0,9.99,0
75,373,31,301,19.99,293
77,6039,1397,5136,59.99,1010
63,125,50,0,6.99,17
65,359,240,392,4.99,157
88,10739,668,7862,54.99,289
73,491,58,206,8.99,264
65,151,60,184,29.99,213
83,368986,18577,327874,19.99,1667
77,12558,4646,48669,0.0,0
69,177,26,160,19.99,273
79,65532,11458,50384,26.79,2858
64,157,79,178,4.99,0
86,26618,7024,22319,39.99,1112
63,76,34,0,14.99,0
71,394,468,329,4.99,405
80,8625,1918,6844,13.49,849
73,1311,159,925,19.99,144
83,7250,436,6229,19.99,330
91,1578,159,1504,3.99,452
62,162,225,210,9.99,272
70,115417,92764,147067,0.0,3536
57,113,39,0,14.99,14
79,488,41,428,9.99,1159
82,417,19,126,11.99,148
94,14426,892,13107,19.99,2759
68,99,114,109,14.99,31
76,5641,1780,0,0.0,188
76,196,40,183,29.99,69
81,265,34,273,19.99,2320
87,1449,91,1380,6.99,221
84,62214,2684,50942,2.49,1787
58,88,59,108,19.99,0
80,818,165,807,39.99,321
89,1475,460,1374,29.99,3359
79,231,30,206,9.99,324
59,658,158,740,9.99,175
75,812,367,261,9.99,63
64,55,41,0,19.99,80
64,22,21,0,19.99,0
73,1112,127,1067,0.99,1036
76,343,90,394,29.99,63
80,1449,175,829,9.99,213
79,3374,248,3167,49.99,1577
69,5921,2948,3836,0.0,224
71,281,35,207,9.99,152
72,7437,1518,6634,14.99,423
85,7192,438,6931,19.99,368
81,4037,395,3777,24.99,482
78,16130,1661,11210,13.99,640
51,29,29,0,9.99,193
70,684,182,516,14.99,73
71,69,49,0,9.99,0
74,236,68,172,1.19,241
78,3995,1207,3266,11.99,308
69,2277,759,0,0.0,281
77,1375,389,899,14.99,188
86,4127,195,3761,9.99,259
88,15633,334,14165,19.99,867
30,12,24,0,19.99,0
83,47523,4485,44739,29.99,307
68,397,53,329,14.99,295
78,4228,460,2933,29.99,119
65,93,37,0,9.99,49
69,757,75,462,19.99,13
69,59,5,0,6.99,0
52,230,266,338,2.49,292
80,1505,555,1865,6.99,622
69,1726,474,1992,24.99,870
82,22620,844,21888,19.99,1119
73,572,611,774,14.99,121
89,860,71,855,24.99,16
76,59622,13989,44440,59.99,5556
72,585,173,387,4.99,190
89,12,10,0,3.99,0
79,1851,216,1708,1.99,262
71,1258,386,1231,19.99,196
78,105,31,110,24.99,294
75,3169,1196,2232,19.99,296
61,25,17,0,8.99,0
77,1996,333,1975,39.99,582
80,3005,754,2653,19.99,171
61,214,100,250,14.99,216
68,298,20,298,5.99,0
82,752,215,835,4.99,0
85,122,9,123,6.99,0
52,177,382,0,2.99,123
71,159,40,157,14.99,0
58,14,2,0,14.99,0
62,12,1,0,9.99,0
79,191,77,162,24.99,76
76,35699,2575,19306,14.99,594
77,51870,10026,48672,0.0,1914
73,112104,27418,76329,59.99,3510
56,331,125,423,19.99,120
51,321,147,413,14.99,50
80,587,45,570,24.99,231
62,1116,500,987,7.99,100
85,700,43,599,9.99,212
74,2062,401,1987,9.99,217
72,189,35,0,14.99,273
